timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1762968599.6298277,0,0,43993.125,49140.0,89.5260989010989,74,115.897,300.0,2655,9500
1762968600.1336997,99,21,43995.125,49140.0,89.5301689051689,80,196.295,300.0,885,9500
1762968600.635752,100,20,44371.125,49140.0,90.29532967032966,78,281.495,300.0,795,9500
1762968601.1377625,89,68,44371.125,49140.0,90.29532967032966,79,286.524,300.0,1260,9500
1762968601.6410391,89,69,44371.125,49140.0,90.29532967032966,79,274.9,300.0,1425,9500
1762968602.1478794,89,70,44371.125,49140.0,90.29532967032966,78,275.509,300.0,1530,9500
1762968602.6500664,89,63,44371.125,49140.0,90.29532967032966,79,276.567,300.0,1605,9500
1762968603.152357,91,62,44371.125,49140.0,90.29532967032966,79,278.079,300.0,1515,9500
1762968603.6543422,91,63,44371.125,49140.0,90.29532967032966,79,279.618,300.0,1455,9500
1762968604.156633,91,61,44371.125,49140.0,90.29532967032966,81,277.613,300.0,1785,9500
1762968604.6599586,91,59,44371.125,49140.0,90.29532967032966,80,277.821,300.0,1695,9500
1762968605.1632638,91,60,44371.125,49140.0,90.29532967032966,80,279.827,300.0,1770,9500
1762968605.6669302,91,66,44371.125,49140.0,90.29532967032966,79,279.3,300.0,1620,9500
1762968606.1703582,92,54,44371.125,49140.0,90.29532967032966,78,281.926,300.0,1410,9500
1762968606.6723437,89,62,44371.125,49140.0,90.29532967032966,81,281.045,300.0,1710,9500
1762968607.174644,92,60,44371.125,49140.0,90.29532967032966,79,280.352,300.0,1395,9500
1762968607.6777134,92,58,44371.125,49140.0,90.29532967032966,79,279.754,300.0,1320,9500
1762968608.1803398,89,72,44371.125,49140.0,90.29532967032966,80,280.301,300.0,1695,9500
1762968608.685462,91,68,44371.125,49140.0,90.29532967032966,82,281.662,300.0,1350,9500
1762968609.1880167,92,60,44371.125,49140.0,90.29532967032966,81,281.206,300.0,1260,9500
1762968609.6904786,88,63,44369.875,49140.0,90.29278591778592,82,280.336,300.0,1455,9500
1762968610.1927912,90,65,44369.875,49140.0,90.29278591778592,81,280.453,300.0,945,9500
1762968610.6949046,90,63,44369.875,49140.0,90.29278591778592,81,281.204,300.0,1590,9500
1762968611.1984699,91,67,44369.875,49140.0,90.29278591778592,82,279.468,300.0,1245,9500
1762968611.705777,90,61,44369.875,49140.0,90.29278591778592,80,281.212,300.0,1335,9500
1762968612.2098076,92,57,44369.3125,49140.0,90.29164122914123,80,281.825,300.0,1200,9500
1762968612.7136555,90,64,44369.3125,49140.0,90.29164122914123,82,280.964,300.0,1755,9500
1762968613.2167544,90,65,44369.3125,49140.0,90.29164122914123,82,278.804,300.0,862,9500
1762968613.719914,91,72,44369.3125,49140.0,90.29164122914123,81,279.537,300.0,1440,9500
1762968614.2241457,91,71,44369.3125,49140.0,90.29164122914123,81,281.683,300.0,1785,9500
1762968614.726093,88,68,44369.3125,49140.0,90.29164122914123,80,281.911,300.0,1140,9500
1762968615.2282767,91,61,44369.3125,49140.0,90.29164122914123,81,282.217,300.0,1305,9500
1762968615.7305622,90,60,44369.3125,49140.0,90.29164122914123,82,281.586,300.0,1665,9500
1762968616.2325573,88,69,44369.3125,49140.0,90.29164122914123,82,281.476,300.0,847,9500
1762968616.7357898,90,61,44369.3125,49140.0,90.29164122914123,82,281.195,300.0,1515,9500
1762968617.2388961,90,61,44369.3125,49140.0,90.29164122914123,82,281.186,300.0,855,9500
1762968617.743153,92,65,44374.0,49140.0,90.30118030118031,82,280.792,300.0,1830,9500
1762968618.2452338,92,62,44374.0,49140.0,90.30118030118031,83,279.302,300.0,1830,9500
1762968618.7475667,89,71,44374.75,49140.0,90.30270655270655,83,278.788,300.0,1770,9500
1762968619.2496083,91,69,44374.75,49140.0,90.30270655270655,82,281.592,300.0,1695,9500
1762968619.7515755,91,68,44374.3125,49140.0,90.30181623931624,81,282.477,300.0,1245,9500
1762968620.2569652,89,78,44374.3125,49140.0,90.30181623931624,82,281.988,300.0,1830,9500
1762968620.7621615,91,70,44373.9375,49140.0,90.30105311355311,82,282.279,300.0,1740,9500
1762968621.2642941,91,71,44373.9375,49140.0,90.30105311355311,81,279.375,300.0,1290,9500
1762968621.766293,92,64,44373.9375,49140.0,90.30105311355311,81,282.571,300.0,1200,9500
1762968622.2703118,93,63,44373.9375,49140.0,90.30105311355311,83,284.286,300.0,1620,9500
1762968622.7733243,91,63,44371.75,49140.0,90.29660154660155,84,283.356,300.0,1785,9500
1762968623.2811825,92,60,44374.4375,49140.0,90.30207061457062,82,283.27,300.0,2010,9500
1762968623.783337,90,69,44374.625,49140.0,90.30245217745218,82,278.443,300.0,1290,9500
1762968624.285682,93,63,44374.625,49140.0,90.30245217745218,83,282.13,300.0,1830,9500
1762968624.787786,91,69,44374.625,49140.0,90.30245217745218,84,284.504,300.0,1665,9500
1762968625.2898932,90,66,44374.625,49140.0,90.30245217745218,82,282.177,300.0,1485,9500
1762968625.7945466,95,57,44386.8125,49140.0,90.32725376475376,82,287.439,300.0,1245,9500
1762968626.3058672,91,65,44387.3125,49140.0,90.32827126577126,84,284.855,300.0,1755,9500
1762968626.807902,91,74,44387.3125,49140.0,90.32827126577126,83,285.331,300.0,1545,9500
1762968627.309746,90,63,44387.625,49140.0,90.3289072039072,82,284.612,300.0,1410,9500
1762968627.8129182,91,67,44386.375,49140.0,90.32636345136346,84,282.249,300.0,1725,9500
1762968628.3198676,91,66,44386.375,49140.0,90.32636345136346,83,283.088,300.0,1920,9500
1762968628.8218708,91,67,44385.4375,49140.0,90.32445563695563,84,283.122,300.0,1440,9500
1762968629.3239172,91,67,44385.4375,49140.0,90.32445563695563,82,282.395,300.0,1380,9500
1762968629.8261995,89,62,44385.0625,49140.0,90.3236925111925,83,282.575,300.0,1290,9500
