timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1762541038.1014493,1,0,0,0,0,47,0,0,0,0
1762541038.7229636,1,0,0,0,0,47,0,0,0,0
1762541039.2233725,9,0,0,0,0,47,0,0,0,0
1762541039.7239568,9,0,0,0,0,53,0,0,0,0
1762541040.224508,96,0,0,0,0,56,0,0,0,0
1762541040.7257507,96,0,0,0,0,52,0,0,0,0
1762541041.2284842,96,0,0,0,0,52,0,0,0,0
1762541041.7294767,96,0,0,0,0,52,0,0,0,0
1762541042.2303994,96,0,0,0,0,52,0,0,0,0
1762541042.730693,96,0,0,0,0,53,0,0,0,0
1762541043.2310023,96,0,0,0,0,53,0,0,0,0
1762541043.731756,96,0,0,0,0,53,0,0,0,0
1762541044.2319958,94,0,0,0,0,54,0,0,0,0
1762541044.7325823,94,0,0,0,0,56,0,0,0,0
1762541045.2330787,95,0,0,0,0,57,0,0,0,0
1762541045.7336452,95,0,0,0,0,55,0,0,0,0
1762541046.2345266,95,0,0,0,0,56,0,0,0,0
1762541046.7352023,95,0,0,0,0,55,0,0,0,0
1762541047.2358158,96,0,0,0,0,56,0,0,0,0
1762541047.736599,96,0,0,0,0,55,0,0,0,0
1762541048.2370079,95,0,0,0,0,55,0,0,0,0
1762541048.737775,95,0,0,0,0,56,0,0,0,0
1762541049.2390642,96,0,0,0,0,58,0,0,0,0
1762541049.739701,96,0,0,0,0,56,0,0,0,0
1762541050.2401674,95,0,0,0,0,58,0,0,0,0
1762541050.740675,95,0,0,0,0,58,0,0,0,0
1762541051.24153,96,0,0,0,0,57,0,0,0,0
1762541051.74215,96,0,0,0,0,57,0,0,0,0
1762541052.2424662,96,0,0,0,0,57,0,0,0,0
1762541052.7435079,96,0,0,0,0,57,0,0,0,0
1762541053.2444987,96,0,0,0,0,56,0,0,0,0
1762541053.7457244,96,0,0,0,0,57,0,0,0,0
1762541054.2473943,96,0,0,0,0,58,0,0,0,0
1762541054.7480197,96,0,0,0,0,58,0,0,0,0
1762541055.248863,96,0,0,0,0,58,0,0,0,0
1762541055.7496057,96,0,0,0,0,58,0,0,0,0
1762541056.2503502,95,0,0,0,0,59,0,0,0,0
1762541056.7511077,95,0,0,0,0,58,0,0,0,0
1762541057.2516437,96,0,0,0,0,58,0,0,0,0
1762541057.752527,96,0,0,0,0,60,0,0,0,0
1762541058.2532048,68,0,0,0,0,57,0,0,0,0
1762541058.7536871,68,0,0,0,0,59,0,0,0,0
1762541059.2541714,96,0,0,0,0,60,0,0,0,0
1762541059.7549446,96,0,0,0,0,62,0,0,0,0
1762541060.2556014,96,0,0,0,0,60,0,0,0,0
1762541060.756392,96,0,0,0,0,59,0,0,0,0
1762541061.2576458,95,0,0,0,0,60,0,0,0,0
1762541061.7591102,95,0,0,0,0,60,0,0,0,0
1762541062.2596447,96,0,0,0,0,60,0,0,0,0
1762541062.7607071,96,0,0,0,0,60,0,0,0,0
1762541063.2614844,96,0,0,0,0,62,0,0,0,0
1762541063.7627876,96,0,0,0,0,60,0,0,0,0
1762541064.2633836,96,0,0,0,0,60,0,0,0,0
1762541064.764058,96,0,0,0,0,61,0,0,0,0
1762541065.2644508,96,0,0,0,0,64,0,0,0,0
1762541065.7654824,96,0,0,0,0,61,0,0,0,0
1762541066.266296,96,0,0,0,0,61,0,0,0,0
1762541066.7670007,96,0,0,0,0,61,0,0,0,0
1762541067.26756,96,0,0,0,0,61,0,0,0,0
1762541067.7683594,96,0,0,0,0,61,0,0,0,0
1762541068.2688882,96,0,0,0,0,62,0,0,0,0
1762541068.7695572,96,0,0,0,0,62,0,0,0,0
1762541069.2707675,95,0,0,0,0,61,0,0,0,0
1762541069.771268,95,0,0,0,0,62,0,0,0,0
1762541070.2720742,95,0,0,0,0,63,0,0,0,0
1762541070.7725525,95,0,0,0,0,65,0,0,0,0
1762541071.27317,96,0,0,0,0,62,0,0,0,0
1762541071.7743464,96,0,0,0,0,62,0,0,0,0
1762541072.2749267,96,0,0,0,0,63,0,0,0,0
1762541072.7755523,96,0,0,0,0,64,0,0,0,0
1762541073.276003,96,0,0,0,0,62,0,0,0,0
1762541073.77639,96,0,0,0,0,64,0,0,0,0
1762541074.276939,96,0,0,0,0,62,0,0,0,0
1762541074.778183,96,0,0,0,0,63,0,0,0,0
1762541075.2787943,96,0,0,0,0,65,0,0,0,0
1762541075.7800865,96,0,0,0,0,63,0,0,0,0
1762541076.2811317,96,0,0,0,0,64,0,0,0,0
1762541076.7820978,96,0,0,0,0,65,0,0,0,0
1762541077.2827158,24,0,0,0,0,65,0,0,0,0
1762541077.7831843,24,0,0,0,0,64,0,0,0,0
1762541078.2841058,96,0,0,0,0,66,0,0,0,0
1762541078.784597,96,0,0,0,0,63,0,0,0,0
1762541079.285729,96,0,0,0,0,63,0,0,0,0
1762541079.7863955,96,0,0,0,0,64,0,0,0,0
1762541080.2880619,96,0,0,0,0,67,0,0,0,0
1762541080.7886965,96,0,0,0,0,67,0,0,0,0
1762541081.289741,96,0,0,0,0,63,0,0,0,0
1762541081.7907648,96,0,0,0,0,63,0,0,0,0
1762541082.291472,96,0,0,0,0,64,0,0,0,0
1762541082.7921433,96,0,0,0,0,68,0,0,0,0
1762541083.2926888,96,0,0,0,0,64,0,0,0,0
1762541083.7934911,96,0,0,0,0,64,0,0,0,0
1762541084.2944825,96,0,0,0,0,65,0,0,0,0
1762541084.795387,96,0,0,0,0,65,0,0,0,0
1762541085.2962377,96,0,0,0,0,64,0,0,0,0
1762541085.796917,96,0,0,0,0,64,0,0,0,0
1762541086.2980454,96,0,0,0,0,65,0,0,0,0
1762541086.7986,96,0,0,0,0,65,0,0,0,0
1762541087.2994747,96,0,0,0,0,67,0,0,0,0
1762541087.800404,96,0,0,0,0,68,0,0,0,0
1762541088.3009021,96,0,0,0,0,65,0,0,0,0
1762541088.8013465,96,0,0,0,0,66,0,0,0,0
1762541089.3023112,96,0,0,0,0,64,0,0,0,0
1762541089.803531,96,0,0,0,0,65,0,0,0,0
1762541090.304485,96,0,0,0,0,68,0,0,0,0
1762541090.8051088,96,0,0,0,0,65,0,0,0,0
1762541091.307908,96,0,0,0,0,66,0,0,0,0
1762541091.8084862,96,0,0,0,0,66,0,0,0,0
1762541092.309462,96,0,0,0,0,65,0,0,0,0
1762541092.8102903,96,0,0,0,0,66,0,0,0,0
1762541093.3113868,96,0,0,0,0,66,0,0,0,0
1762541093.8122542,96,0,0,0,0,66,0,0,0,0
1762541094.3133168,96,0,0,0,0,67,0,0,0,0
1762541094.814204,96,0,0,0,0,65,0,0,0,0
1762541095.3150806,96,0,0,0,0,65,0,0,0,0
1762541095.8154714,96,0,0,0,0,67,0,0,0,0
1762541096.31608,96,0,0,0,0,68,0,0,0,0
1762541096.8164873,96,0,0,0,0,67,0,0,0,0
1762541097.3172255,96,0,0,0,0,67,0,0,0,0
1762541097.8181827,96,0,0,0,0,69,0,0,0,0
1762541098.318861,96,0,0,0,0,69,0,0,0,0
1762541098.8198247,96,0,0,0,0,66,0,0,0,0
1762541099.3210528,96,0,0,0,0,67,0,0,0,0
1762541099.8224316,96,0,0,0,0,69,0,0,0,0
1762541100.3237104,88,0,0,0,0,66,0,0,0,0
1762541100.8242338,88,0,0,0,0,66,0,0,0,0
1762541101.3249302,96,0,0,0,0,70,0,0,0,0
1762541101.827229,96,0,0,0,0,70,0,0,0,0
1762541102.3277555,96,0,0,0,0,68,0,0,0,0
1762541102.8285217,96,0,0,0,0,66,0,0,0,0
1762541103.3287053,96,0,0,0,0,67,0,0,0,0
1762541103.829102,96,0,0,0,0,70,0,0,0,0
1762541104.3298051,96,0,0,0,0,66,0,0,0,0
1762541104.830607,96,0,0,0,0,67,0,0,0,0
1762541105.3317254,96,0,0,0,0,67,0,0,0,0
1762541105.8321626,96,0,0,0,0,70,0,0,0,0
1762541106.332453,96,0,0,0,0,67,0,0,0,0
1762541106.8327596,96,0,0,0,0,67,0,0,0,0
1762541107.3331218,96,0,0,0,0,68,0,0,0,0
1762541107.8337283,96,0,0,0,0,69,0,0,0,0
1762541108.33445,96,0,0,0,0,67,0,0,0,0
1762541108.8354082,96,0,0,0,0,68,0,0,0,0
1762541109.335856,96,0,0,0,0,69,0,0,0,0
1762541109.8364573,96,0,0,0,0,71,0,0,0,0
1762541110.3367376,96,0,0,0,0,68,0,0,0,0
1762541110.8371382,96,0,0,0,0,69,0,0,0,0
1762541111.3377626,96,0,0,0,0,71,0,0,0,0
1762541111.838172,96,0,0,0,0,67,0,0,0,0
1762541112.3386283,96,0,0,0,0,68,0,0,0,0
1762541112.839088,96,0,0,0,0,70,0,0,0,0
1762541113.3418424,96,0,0,0,0,71,0,0,0,0
1762541113.8423975,96,0,0,0,0,68,0,0,0,0
1762541114.342769,96,0,0,0,0,71,0,0,0,0
1762541114.8441017,96,0,0,0,0,69,0,0,0,0
1762541115.3445256,96,0,0,0,0,68,0,0,0,0
1762541115.8449287,96,0,0,0,0,69,0,0,0,0
1762541116.3454826,96,0,0,0,0,71,0,0,0,0
1762541116.8466105,96,0,0,0,0,68,0,0,0,0
1762541117.3471437,96,0,0,0,0,68,0,0,0,0
1762541117.848036,96,0,0,0,0,71,0,0,0,0
1762541118.3488722,96,0,0,0,0,68,0,0,0,0
1762541118.849628,96,0,0,0,0,69,0,0,0,0
1762541119.3500595,96,0,0,0,0,70,0,0,0,0
