timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1762563357.812496,80,0,0,0,0,46,0,0,0,0
1762563358.3134797,12,0,0,0,0,51,0,0,0,0
1762563358.8138847,12,0,0,0,0,57,0,0,0,0
1762563359.3142734,68,0,0,0,0,51,0,0,0,0
1762563359.8146696,68,0,0,0,0,48,0,0,0,0
1762563360.3448358,96,0,0,0,0,58,0,0,0,0
1762563360.8452542,96,0,0,0,0,58,0,0,0,0
1762563361.3510098,68,0,0,0,0,49,0,0,0,0
1762563361.851752,68,0,0,0,0,59,0,0,0,0
1762563362.3521981,95,0,0,0,0,59,0,0,0,0
1762563362.8526273,95,0,0,0,0,52,0,0,0,0
1762563363.3528497,96,0,0,0,0,49,0,0,0,0
1762563363.853115,96,0,0,0,0,60,0,0,0,0
1762563364.3534122,96,0,0,0,0,60,0,0,0,0
1762563364.8598552,96,0,0,0,0,50,0,0,0,0
1762563365.3601673,93,0,0,0,0,61,0,0,0,0
1762563365.860598,93,0,0,0,0,60,0,0,0,0
1762563366.360891,24,0,0,0,0,52,0,0,0,0
1762563366.8611236,24,0,0,0,0,50,0,0,0,0
1762563367.361411,96,0,0,0,0,61,0,0,0,0
1762563367.8617592,96,0,0,0,0,61,0,0,0,0
1762563368.3624296,95,0,0,0,0,51,0,0,0,0
1762563368.8629148,95,0,0,0,0,64,0,0,0,0
1762563369.3632631,95,0,0,0,0,61,0,0,0,0
1762563369.8639436,95,0,0,0,0,53,0,0,0,0
1762563370.3643565,96,0,0,0,0,52,0,0,0,0
1762563370.8653307,96,0,0,0,0,62,0,0,0,0
1762563371.3660014,96,0,0,0,0,62,0,0,0,0
1762563371.900025,96,0,0,0,0,52,0,0,0,0
1762563372.4003718,96,0,0,0,0,64,0,0,0,0
1762563372.900665,96,0,0,0,0,62,0,0,0,0
1762563373.4013484,43,0,0,0,0,53,0,0,0,0
1762563373.9017196,43,0,0,0,0,52,0,0,0,0
1762563374.402414,95,0,0,0,0,63,0,0,0,0
1762563374.9031575,95,0,0,0,0,60,0,0,0,0
1762563375.421975,96,0,0,0,0,53,0,0,0,0
