timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1762477298.7399213,3,0,0,0,0,67,0,0,0,0
1762477299.2405252,3,0,0,0,0,69,0,0,0,0
1762477299.7409265,85,0,0,0,0,69,0,0,0,0
1762477300.2417371,85,0,0,0,0,69,0,0,0,0
1762477300.7422452,80,0,0,0,0,70,0,0,0,0
1762477301.2428067,80,0,0,0,0,69,0,0,0,0
1762477301.7433028,86,0,0,0,0,70,0,0,0,0
1762477302.2439559,86,0,0,0,0,70,0,0,0,0
1762477302.746862,81,0,0,0,0,70,0,0,0,0
1762477303.2478096,81,0,0,0,0,70,0,0,0,0
1762477303.7484741,81,0,0,0,0,70,0,0,0,0
1762477304.2491467,81,0,0,0,0,70,0,0,0,0
1762477304.750371,79,0,0,0,0,70,0,0,0,0
1762477305.2508554,79,0,0,0,0,70,0,0,0,0
1762477305.751709,83,0,0,0,0,70,0,0,0,0
1762477306.2525692,83,0,0,0,0,70,0,0,0,0
1762477306.7534938,83,0,0,0,0,70,0,0,0,0
1762477307.2542255,83,0,0,0,0,70,0,0,0,0
1762477307.7546153,83,0,0,0,0,70,0,0,0,0
1762477308.2554793,83,0,0,0,0,70,0,0,0,0
1762477308.7561092,78,0,0,0,0,70,0,0,0,0
1762477309.2568984,78,0,0,0,0,70,0,0,0,0
1762477309.7573555,77,0,0,0,0,70,0,0,0,0
1762477310.2581658,77,0,0,0,0,70,0,0,0,0
1762477310.7586665,81,0,0,0,0,71,0,0,0,0
1762477311.2594595,81,0,0,0,0,71,0,0,0,0
1762477311.7598848,79,0,0,0,0,70,0,0,0,0
1762477312.2604725,79,0,0,0,0,71,0,0,0,0
1762477312.7612438,82,0,0,0,0,71,0,0,0,0
1762477313.262031,82,0,0,0,0,71,0,0,0,0
1762477313.7627072,82,0,0,0,0,71,0,0,0,0
1762477314.2632911,82,0,0,0,0,71,0,0,0,0
1762477314.7640288,80,0,0,0,0,71,0,0,0,0
1762477315.2645733,80,0,0,0,0,71,0,0,0,0
1762477315.7654772,78,0,0,0,0,71,0,0,0,0
1762477316.266911,78,0,0,0,0,71,0,0,0,0
1762477316.767683,82,0,0,0,0,71,0,0,0,0
1762477317.26891,82,0,0,0,0,71,0,0,0,0
1762477317.7701929,83,0,0,0,0,71,0,0,0,0
1762477318.2711701,83,0,0,0,0,71,0,0,0,0
1762477318.772056,83,0,0,0,0,71,0,0,0,0
1762477319.2724826,83,0,0,0,0,71,0,0,0,0
1762477319.7732067,84,0,0,0,0,71,0,0,0,0
1762477320.2736702,84,0,0,0,0,71,0,0,0,0
1762477320.7742372,84,0,0,0,0,71,0,0,0,0
1762477321.2750587,84,0,0,0,0,71,0,0,0,0
1762477321.775747,79,0,0,0,0,70,0,0,0,0
1762477322.2764773,79,0,0,0,0,70,0,0,0,0
1762477322.7769015,83,0,0,0,0,71,0,0,0,0
1762477323.2773304,83,0,0,0,0,71,0,0,0,0
1762477323.7781181,83,0,0,0,0,71,0,0,0,0
1762477324.2784846,83,0,0,0,0,71,0,0,0,0
1762477324.7792196,84,0,0,0,0,71,0,0,0,0
1762477325.2801378,84,0,0,0,0,71,0,0,0,0
1762477325.7811108,84,0,0,0,0,71,0,0,0,0
1762477326.2821238,84,0,0,0,0,71,0,0,0,0
1762477326.7828596,85,0,0,0,0,71,0,0,0,0
1762477327.283421,85,0,0,0,0,71,0,0,0,0
1762477327.7837362,84,0,0,0,0,71,0,0,0,0
1762477328.2843044,84,0,0,0,0,71,0,0,0,0
1762477328.7847245,74,0,0,0,0,70,0,0,0,0
1762477329.2854803,74,0,0,0,0,71,0,0,0,0
1762477329.785947,83,0,0,0,0,71,0,0,0,0
1762477330.2867527,83,0,0,0,0,71,0,0,0,0
1762477330.7874286,84,0,0,0,0,71,0,0,0,0
1762477331.287782,84,0,0,0,0,71,0,0,0,0
1762477331.788641,83,0,0,0,0,71,0,0,0,0
1762477332.2896104,83,0,0,0,0,70,0,0,0,0
1762477332.7903392,83,0,0,0,0,71,0,0,0,0
1762477333.2908485,83,0,0,0,0,71,0,0,0,0
1762477333.791647,80,0,0,0,0,71,0,0,0,0
1762477334.2920818,80,0,0,0,0,71,0,0,0,0
1762477334.79265,84,0,0,0,0,71,0,0,0,0
1762477335.2930584,84,0,0,0,0,71,0,0,0,0
1762477335.7934659,82,0,0,0,0,71,0,0,0,0
1762477336.2938335,82,0,0,0,0,71,0,0,0,0
1762477336.7949526,80,0,0,0,0,71,0,0,0,0
1762477337.295342,80,0,0,0,0,71,0,0,0,0
1762477337.7959986,82,0,0,0,0,71,0,0,0,0
1762477338.296376,82,0,0,0,0,71,0,0,0,0
1762477338.7969615,85,0,0,0,0,71,0,0,0,0
1762477339.2977812,85,0,0,0,0,71,0,0,0,0
1762477339.7983205,84,0,0,0,0,71,0,0,0,0
1762477340.2987237,84,0,0,0,0,70,0,0,0,0
1762477340.79902,84,0,0,0,0,71,0,0,0,0
1762477341.2997696,84,0,0,0,0,71,0,0,0,0
1762477341.8007112,80,0,0,0,0,71,0,0,0,0
1762477342.3015609,80,0,0,0,0,71,0,0,0,0
1762477342.8023164,80,0,0,0,0,71,0,0,0,0
1762477343.3029878,80,0,0,0,0,71,0,0,0,0
1762477343.803448,81,0,0,0,0,71,0,0,0,0
1762477344.3041484,81,0,0,0,0,71,0,0,0,0
