timestamp,gpu_utilization,memory_utilization,memory_used_mb,memory_total_mb,memory_percent,temperature_c,power_draw_w,power_limit_w,sm_clock_mhz,mem_clock_mhz
1763055366.4210424,0,0,6966.6875,49140.0,14.177223239723238,63,170.312,300.0,2670,9500
1763055366.9232948,100,20,10026.6875,49140.0,20.404329466829466,65,212.174,300.0,1950,9500
1763055367.6011674,99,6,10026.6875,49140.0,20.404329466829466,71,245.632,300.0,1095,9500
1763055368.103388,100,24,8510.9375,49140.0,17.319775132275133,65,243.357,300.0,2550,9500
1763055368.605417,74,9,10036.9375,49140.0,20.42518823768824,71,248.894,300.0,1035,9500
1763055369.1076539,100,21,8510.9375,49140.0,17.319775132275133,65,218.595,300.0,2505,9500
1763055369.6103384,100,13,10036.9375,49140.0,20.42518823768824,72,258.596,300.0,975,9500
1763055370.1134222,99,4,10035.3125,49140.0,20.42188135938136,72,226.019,300.0,1140,9500
1763055370.6197286,100,21,10035.3125,49140.0,20.42188135938136,72,258.961,300.0,975,9500
1763055371.1229122,100,8,8508.125,49140.0,17.314051689051688,66,213.065,300.0,2670,9500
1763055371.628924,100,15,10034.125,49140.0,20.419464794464794,73,216.076,300.0,975,9500
1763055372.1322267,64,1,10034.125,49140.0,20.419464794464794,69,218.485,300.0,1335,9500
1763055372.6352315,100,18,10034.125,49140.0,20.419464794464794,73,243.771,300.0,945,9500
1763055373.1373572,99,6,10026.625,49140.0,20.40420227920228,73,254.29,300.0,1080,9500
1763055373.6393762,100,24,8500.625,49140.0,17.29878917378917,68,253.746,300.0,2085,9500
1763055374.1797194,100,12,10026.625,49140.0,20.40420227920228,74,263.796,300.0,1020,9500
1763055374.6817677,64,12,8500.625,49140.0,17.29878917378917,68,226.035,300.0,2505,9500
1763055375.1841555,99,10,10026.625,49140.0,20.40420227920228,74,220.576,300.0,1020,9500
1763055375.6861947,100,19,8500.625,49140.0,17.29878917378917,68,226.308,300.0,2505,9500
